"Date","Open","High","Low","Close","Volume"
"03/2015","52.71","53.61","45.93","48.54","17,232,058"
"02/2015","56.64","58.84","49.92","52.75","15,515,825"
"01/2015","48.22","58.67","47.84","57.6","22,345,402"
"12/2014","51.06","54.59","45.49","49.19","22,301,878"
"11/2014","46.92","56.38","44.66","50.02","19,791,813"
"10/2014","49.1","56.059","45.07","46.75","21,739,172"
"09/2014","55.34","56.71","47.8327","48.88","13,806,083"
"08/2014","56.81","61.47","54.8","56.29","10,970,549"
"07/2014","57.88","60.45","54.61","56.55","10,919,057"
"06/2014","46.06","57.39","45.5","57.34","9,178,084"
"05/2014","47.86","50.02","45.28","46.54","8,962,229"
"04/2014","46.08","49.25","44.54","48.17","12,513,744"
"03/2014","52.37","53.39","45","45.86","15,768,832"
"02/2014","48.86","53.7","47.1639","51.15","14,094,900"
"01/2014","41.2","49.41","40.67","48.45","14,931,910"
"12/2013","39.56","41.75","36.92","40.74","15,569,636"
"11/2013","44.5","45.74","38.84","40.35","11,156,396"
"10/2013","44.19","46.77","40.02","44.91","13,844,836"
"09/2013","45.62","47.7","40.6","45.26","23,204,611"
"08/2013","42.54","48.46","38.09","45.35","12,124,950"
"07/2013","36.05","45.3","33.53","42.19","10,157,573"
"06/2013","41.97","43.67","31.54","35.77","10,104,287"
"05/2013","42.7","44.975","0","41.73","9,511,963"
"04/2013","45.46","45.69","34.53","43.63","13,877,348"
"03/2013","48.23","48.27","43.2","45.59","8,288,639"
"02/2013","53.77","55.2","47.01","48.24","5,373,087"
"01/2013","58.25","59.03","51.08","53.43","4,601,729"
"12/2012","56.65","58.75","54.54","57.17","4,276,518"
"11/2012","57.37","60.64","55.71","56.28","5,123,405"
"10/2012","59.38","61.6","56.02","57.53","5,990,045"
"09/2012","52","60.99","51.4","58.93","7,529,760"
"08/2012","48.71","52","46.43","51.8","5,840,397"
"07/2012","45.25","49.97","44.95","48.85","4,745,375"
"06/2012","42.34","47.88","42.17","45.2","5,383,948"
"05/2012","45.04","45.46","37.51","41.94","5,203,865"
"04/2012","42.75","45.141","40","44.86","2,614,489"
"03/2012","44.39","45.17","40.56","42.98","4,428,942"
"02/2012","45.47","46.55","42.15","44.15","3,667,988"
"01/2012","38.92","45.945","38.2692","45.22","3,889,147"
"12/2011","42.23","42.8","36.5","38.07","4,837,951"
"11/2011","38.3","43.38","37.99","42.36","2,500,023"
"10/2011","40.97","41.3","34.03","39.76","3,428,721"
"09/2011","43.71","48.25","35.25","36.07","2,934,653"
"08/2011","41.67","44.6","39.04","42.93","879,104"
"07/2011","37.22","42.51","36.6","41.9","545,471"
"06/2011","38.52","38.74","36.16","37.37","602,803"
"05/2011","39.54","39.69","36.0963","38.5","515,420"
"04/2011","36.8","40.17","36.16","39.51","639,209"
"03/2011","34.13","37.76","33.15","36.66","1,232,189"
"02/2011","28.09","34.0881","28.09","34.0881","972,978"
"01/2011","34.7","34.7","27.75","27.894","534,842"
"12/2010","33.3628","33.9","31.83","33.3567","801,308"
"11/2010","34.52","35.4282","30.9476","33.216","979,821"
"10/2010","31.53","34.7516","31.52","34.62","705,361"
"09/2010","30.5","32.4","28.48","31.5592","561,662"
"08/2010","30.53","32.56","29.71","29.71","504,886"
"07/2010","30.67","31.2","28.5199","30.57","942,753"
"06/2010","29.1178","33.51","28.97","30.66","410,196"
"05/2010","28.9481","32.08","26.4926","28.54","502,777"
"04/2010","27.0172","29","26.55","28.7624","430,416"
"03/2010","26.1","27.6494","24.25","26.82","432,807"
"02/2010","25.5","27.1173","24.4465","26.096","248,962"
"01/2010","27.1891","30.985","25.3511","25.5359","399,303"
"12/2009","27.9682","29.7395","24","26.9455","479,690"
"11/2009","24.9498","29.35","24.56","27.13","375,311"
"10/2009","26.4557","29.99","24.2595","24.7453","247,154"
"09/2009","25.581","29.32","24.57","26.235","255,208"
"08/2009","26.28","26.32","23.2249","25.54","121,222"
"07/2009","24.33","25.5266","21.115","25.3691","102,229"
"06/2009","27.9","28.914","22.66","24.07","420,576"
"05/2009","21.1913","27.7237","21.1913","27.7196","448,926"
"04/2009","21.5411","22.377","19.0134","21.1837","174,543"
"03/2009","20.95","24.8513","18.9293","21.5911","292,665"
"02/2009","19.9279","27.8","17.525","20.7315","348,216"
"01/2009","17.632","21.0345","15.1591","20.79","170,900"
"12/2008","12.9988","17.4285","11.3775","17.3551","250,596"
"11/2008","14.659","17.957","11.145","13.37","510,048"
"10/2008","0","19.8525","9.1274","14.3775","460,069"
"09/2008","0","21.4","15.863","18.837","469,009"
"08/2008","0","20.8151","16.1145","19.957","197,671"
"07/2008","24.0578","24.475","20.4983","20.973","59,860"
"06/2008","0","24.3559","20.1551","24.0578","95,200"
"05/2008","0","21.966","0","21.966","103,583"
"04/2008","0","20.822","16.9785","17.7955","74,646"
"03/2008","0","23.29","18.2795","18.859","141,666"
"02/2008","0","23.61","18.69","23.0114","104,856"
"01/2008","0","20.063","15.34","19.3885","141,375"
"12/2007","0","15.495","13.63","15.257","4,601,980"
